epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,		lr/pg0		lr/pg1,		lr/pg2
	0,       0.86205,       0.51695,        0.9246,             0.78652,          0.69316,         0.76855,            0.54636,      1.1541,      1.0139,      1.1079,   0.070014,    0.0033317,  0.0033317
	1,       0.80123,       0.45538,       0.90878,             0.76993,          0.71683,         0.77695,            0.57834,      1.0243,     0.95891,      1.0391,    0.03975,    0.0064011,  0.0064011
	2,       0.74809,       0.40829,       0.89292,             0.78092,          0.74045,         0.79911,            0.61224,     0.96622,       0.889,      1.0006,  0.0092224,    0.0092065,  0.0092065
	3,        0.7059,       0.37258,       0.88046,             0.79455,          0.75831,         0.81914,            0.61989,     0.98785,     0.83495,      1.0113,   0.008812,     0.008812,   0.008812
	4,       0.68695,        0.3587,       0.87529,             0.78835,          0.73335,          0.7974,            0.61595,       0.969,     0.91713,      1.0062,   0.008812,     0.008812,   0.008812
	5,       0.67121,       0.34538,       0.86989,             0.79023,          0.73551,         0.80247,             0.6224,      0.9485,      0.8699,      0.9932,   0.008416,     0.008416,   0.008416
	6,       0.65774,       0.33562,       0.86631,             0.78582,          0.73146,         0.80113,            0.62324,     0.94728,     0.91895,     0.99284,    0.00802,      0.00802,    0.00802
	7,       0.64725,       0.32731,       0.86412,             0.78724,          0.73472,         0.80554,            0.62516,     0.95588,     0.90199,     0.99764,   0.007624,     0.007624,   0.007624
	8,       0.63679,       0.32073,        0.8613,             0.79286,          0.72972,          0.8052,            0.62645,     0.95715,      0.9099,     0.99988,   0.007228,     0.007228,   0.007228
	9,       0.62827,       0.31451,       0.85921,             0.78714,          0.73338,         0.80529,            0.62585,     0.95882,     0.90538,     0.99872,   0.006832,     0.006832,   0.006832
   10,       0.62122,       0.30952,       0.85709,             0.78373,          0.73176,         0.80469,            0.62745,     0.95363,     0.90043,     0.99765,   0.006436,     0.006436,   0.006436
   11,       0.61377,       0.30404,        0.8546,             0.78367,          0.73038,         0.80435,            0.62685,     0.95399,     0.88806,     0.99862,    0.00604,      0.00604,    0.00604
   12,       0.60718,       0.30008,       0.85323,             0.78494,          0.72922,         0.80425,            0.62697,     0.95524,     0.88469,      0.9992,   0.005644,     0.005644,   0.005644
   13,       0.59951,       0.29493,       0.85164,              0.7866,           0.7273,         0.80356,             0.6266,     0.95856,     0.88764,       1.001,   0.005248,     0.005248,   0.005248
   14,       0.59355,       0.29075,       0.85045,             0.78601,          0.72635,         0.80321,            0.62675,      0.9601,     0.89126,      1.0011,   0.004852,     0.004852,   0.004852
   15,       0.60422,       0.30278,       0.85175,             0.78822,          0.68486,         0.77255,             0.5996,     0.98394,      1.0335,      1.0299,   0.070014,    0.0033317,  0.0033317
   16,        0.6193,       0.31375,       0.85717,             0.77081,          0.73412,         0.79552,            0.61222,     0.99262,     0.90824,      1.0186,   0.039354,    0.0060052,  0.0060052
   17,       0.61838,       0.31218,       0.85658,             0.79681,           0.7138,         0.79664,             0.6167,     0.99008,     0.94761,      1.0128,  0.0080346,    0.0080187,  0.0080187
   18,       0.60335,           0.3,       0.85208,             0.77874,          0.72291,          0.7964,            0.61441,     0.98419,     0.90374,      1.0125,    0.00703,      0.00703,    0.00703
   19,       0.59992,        0.2987,       0.85215,             0.77963,          0.72084,         0.79363,            0.61572,     0.97593,     0.94027,      1.0119,    0.00703,      0.00703,    0.00703
   20,       0.59106,       0.29171,       0.84969,             0.78284,          0.72114,         0.79489,            0.61655,     0.97869,      0.9401,      1.0092,    0.00604,      0.00604,    0.00604
   21,       0.58124,       0.28487,       0.84695,             0.78137,          0.74157,         0.80585,            0.62443,     0.98267,     0.90579,      1.0139,    0.00505,      0.00505,    0.00505
   22,        0.5725,       0.27798,       0.84458,             0.78478,           0.7277,         0.80103,            0.62239,     0.97546,     0.93744,      1.0081,    0.00406,      0.00406,    0.00406
   23,       0.56206,        0.2708,        0.8422,             0.78142,          0.72736,         0.79723,            0.61953,     0.97826,     0.93703,      1.0124,    0.00307,      0.00307,    0.00307
   24,       0.55303,       0.26397,       0.84036,             0.78098,          0.72891,         0.79813,            0.62026,     0.96874,     0.91326,      1.0089,    0.00208,      0.00208,    0.00208